date,genre,percentage_in_year,decade
1960,classical,0.0,60s
1961,classical,0.0,60s
1962,classical,0.0,60s
1963,classical,0.0,60s
1964,classical,0.0,60s
1965,classical,0.0,60s
1966,classical,0.0,60s
1967,classical,0.0,60s
1968,classical,0.0015105740181268882,60s
1969,classical,0.0014684287812041115,60s
1970,classical,0.0,70s
1971,classical,0.0,70s
1972,classical,0.0,70s
1973,classical,0.0,70s
1974,classical,0.0,70s
1975,classical,0.0,70s
1976,classical,0.0,70s
1977,classical,0.0,70s
1978,classical,0.0,70s
1979,classical,0.0,70s
1980,classical,0.0,80s
1981,classical,0.0,80s
1982,classical,0.0,80s
1983,classical,0.0,80s
1984,classical,0.0,80s
1985,classical,0.00423728813559322,80s
1986,classical,0.006550218340611353,80s
1987,classical,0.0,80s
1988,classical,0.004347826086956522,80s
1989,classical,0.0,80s
1990,classical,0.0,90s
1991,classical,0.0,90s
1992,classical,0.0,90s
1993,classical,0.0,90s
1994,classical,0.0,90s
1995,classical,0.0,90s
1996,classical,0.0,90s
1997,classical,0.0,90s
1998,classical,0.0,90s
1999,classical,0.0,90s
2000,classical,0.0,00s
2001,classical,0.0,00s
2002,classical,0.0,00s
2003,classical,0.0,00s
2004,classical,0.0,00s
2005,classical,0.0,00s
2006,classical,0.0,00s
2007,classical,0.0,00s
2008,classical,0.0,00s
2009,classical,0.0,00s
2010,classical,0.0,10s
2011,classical,0.0,10s
2012,classical,0.0,10s
2013,classical,0.0,10s
2014,classical,0.0,10s
2015,classical,0.0,10s
2016,classical,0.0,10s
2017,classical,0.0,10s
2018,classical,0.0,10s
2019,classical,0.0,10s
1960,electronic_dance_disco,0.0,60s
1961,electronic_dance_disco,0.0046439628482972135,60s
1962,electronic_dance_disco,0.0124804992199688,60s
1963,electronic_dance_disco,0.01757188498402556,60s
1964,electronic_dance_disco,0.02861230329041488,60s
1965,electronic_dance_disco,0.04046242774566474,60s
1966,electronic_dance_disco,0.0453920220082531,60s
1967,electronic_dance_disco,0.05241379310344828,60s
1968,electronic_dance_disco,0.07250755287009064,60s
1969,electronic_dance_disco,0.06754772393538913,60s
1970,electronic_dance_disco,0.09606299212598425,70s
1971,electronic_dance_disco,0.10063897763578275,70s
1972,electronic_dance_disco,0.11456628477905073,70s
1973,electronic_dance_disco,0.163302752293578,70s
1974,electronic_dance_disco,0.20550458715596331,70s
1975,electronic_dance_disco,0.2309027777777778,70s
1976,electronic_dance_disco,0.24729241877256317,70s
1977,electronic_dance_disco,0.2340823970037453,70s
1978,electronic_dance_disco,0.2495049504950495,70s
1979,electronic_dance_disco,0.2693726937269373,70s
1980,electronic_dance_disco,0.22924901185770752,80s
1981,electronic_dance_disco,0.2286902286902287,80s
1982,electronic_dance_disco,0.265748031496063,80s
1983,electronic_dance_disco,0.3481624758220503,80s
1984,electronic_dance_disco,0.39363817097415504,80s
1985,electronic_dance_disco,0.3855932203389831,80s
1986,electronic_dance_disco,0.3864628820960699,80s
1987,electronic_dance_disco,0.3524229074889868,80s
1988,electronic_dance_disco,0.3217391304347826,80s
1989,electronic_dance_disco,0.29193899782135074,80s
1990,electronic_dance_disco,0.2645739910313901,90s
1991,electronic_dance_disco,0.24669603524229075,90s
1992,electronic_dance_disco,0.2429245283018868,90s
1993,electronic_dance_disco,0.27586206896551724,90s
1994,electronic_dance_disco,0.22418136020151133,90s
1995,electronic_dance_disco,0.24102564102564103,90s
1996,electronic_dance_disco,0.23512747875354106,90s
1997,electronic_dance_disco,0.2987012987012987,90s
1998,electronic_dance_disco,0.24235294117647058,90s
1999,electronic_dance_disco,0.2683544303797468,90s
2000,electronic_dance_disco,0.2900763358778626,00s
2001,electronic_dance_disco,0.24864864864864866,00s
2002,electronic_dance_disco,0.2584856396866841,00s
2003,electronic_dance_disco,0.23237597911227154,00s
2004,electronic_dance_disco,0.22281167108753316,00s
2005,electronic_dance_disco,0.24047619047619048,00s
2006,electronic_dance_disco,0.2323008849557522,00s
2007,electronic_dance_disco,0.2847380410022779,00s
2008,electronic_dance_disco,0.3201663201663202,00s
2009,electronic_dance_disco,0.3125,00s
2010,electronic_dance_disco,0.26126126126126126,10s
2011,electronic_dance_disco,0.19718309859154928,10s
2012,electronic_dance_disco,0.22939866369710468,10s
2013,electronic_dance_disco,0.2348008385744235,10s
2014,electronic_dance_disco,0.24830699774266365,10s
2015,electronic_dance_disco,0.20374220374220375,10s
2016,electronic_dance_disco,0.20588235294117646,10s
2017,electronic_dance_disco,0.13148148148148148,10s
2018,electronic_dance_disco,0.10557184750733138,10s
2019,electronic_dance_disco,0.15296052631578946,10s
1960,funk_soul,0.1575091575091575,60s
1961,funk_soul,0.19040247678018576,60s
1962,funk_soul,0.21996879875195008,60s
1963,funk_soul,0.24920127795527156,60s
1964,funk_soul,0.28183118741058655,60s
1965,funk_soul,0.27167630057803466,60s
1966,funk_soul,0.24896836313617607,60s
1967,funk_soul,0.30344827586206896,60s
1968,funk_soul,0.33081570996978854,60s
1969,funk_soul,0.31718061674008813,60s
1970,funk_soul,0.25826771653543307,70s
1971,funk_soul,0.26357827476038337,70s
1972,funk_soul,0.2635024549918167,70s
1973,funk_soul,0.3394495412844037,70s
1974,funk_soul,0.3412844036697248,70s
1975,funk_soul,0.2569444444444444,70s
1976,funk_soul,0.24007220216606498,70s
1977,funk_soul,0.1947565543071161,70s
1978,funk_soul,0.15247524752475247,70s
1979,funk_soul,0.14206642066420663,70s
1980,funk_soul,0.16205533596837945,80s
1981,funk_soul,0.16424116424116425,80s
1982,funk_soul,0.15748031496062992,80s
1983,funk_soul,0.14893617021276595,80s
1984,funk_soul,0.15308151093439365,80s
1985,funk_soul,0.18220338983050846,80s
1986,funk_soul,0.16812227074235808,80s
1987,funk_soul,0.14096916299559473,80s
1988,funk_soul,0.11739130434782609,80s
1989,funk_soul,0.08278867102396514,80s
1990,funk_soul,0.13004484304932734,90s
1991,funk_soul,0.10572687224669604,90s
1992,funk_soul,0.13679245283018868,90s
1993,funk_soul,0.1921182266009852,90s
1994,funk_soul,0.17884130982367757,90s
1995,funk_soul,0.14615384615384616,90s
1996,funk_soul,0.141643059490085,90s
1997,funk_soul,0.16883116883116883,90s
1998,funk_soul,0.08705882352941176,90s
1999,funk_soul,0.1291139240506329,90s
2000,funk_soul,0.1450381679389313,00s
2001,funk_soul,0.14324324324324325,00s
2002,funk_soul,0.13838120104438642,00s
2003,funk_soul,0.10182767624020887,00s
2004,funk_soul,0.07957559681697612,00s
2005,funk_soul,0.06428571428571428,00s
2006,funk_soul,0.061946902654867256,00s
2007,funk_soul,0.05694760820045558,00s
2008,funk_soul,0.058212058212058215,00s
2009,funk_soul,0.048828125,00s
2010,funk_soul,0.04684684684684685,10s
2011,funk_soul,0.01584507042253521,10s
2012,funk_soul,0.015590200445434299,10s
2013,funk_soul,0.023060796645702306,10s
2014,funk_soul,0.022573363431151242,10s
2015,funk_soul,0.016632016632016633,10s
2016,funk_soul,0.041176470588235294,10s
2017,funk_soul,0.009259259259259259,10s
2018,funk_soul,0.01466275659824047,10s
2019,funk_soul,0.006578947368421052,10s
1960,hip_hop,0.0,60s
1961,hip_hop,0.0,60s
1962,hip_hop,0.0,60s
1963,hip_hop,0.0,60s
1964,hip_hop,0.001430615164520744,60s
1965,hip_hop,0.0,60s
1966,hip_hop,0.001375515818431912,60s
1967,hip_hop,0.0,60s
1968,hip_hop,0.0,60s
1969,hip_hop,0.0,60s
1970,hip_hop,0.0,70s
1971,hip_hop,0.0,70s
1972,hip_hop,0.0,70s
1973,hip_hop,0.0,70s
1974,hip_hop,0.0,70s
1975,hip_hop,0.0,70s
1976,hip_hop,0.0,70s
1977,hip_hop,0.0,70s
1978,hip_hop,0.0,70s
1979,hip_hop,0.0018450184501845018,70s
1980,hip_hop,0.003952569169960474,80s
1981,hip_hop,0.004158004158004158,80s
1982,hip_hop,0.007874015748031496,80s
1983,hip_hop,0.0038684719535783366,80s
1984,hip_hop,0.009940357852882704,80s
1985,hip_hop,0.0211864406779661,80s
1986,hip_hop,0.04148471615720524,80s
1987,hip_hop,0.07929515418502203,80s
1988,hip_hop,0.11304347826086956,80s
1989,hip_hop,0.11328976034858387,80s
1990,hip_hop,0.1367713004484305,90s
1991,hip_hop,0.1211453744493392,90s
1992,hip_hop,0.1650943396226415,90s
1993,hip_hop,0.22660098522167488,90s
1994,hip_hop,0.21914357682619648,90s
1995,hip_hop,0.2564102564102564,90s
1996,hip_hop,0.2096317280453258,90s
1997,hip_hop,0.22597402597402597,90s
1998,hip_hop,0.15529411764705883,90s
1999,hip_hop,0.1670886075949367,90s
2000,hip_hop,0.19338422391857507,00s
2001,hip_hop,0.22432432432432434,00s
2002,hip_hop,0.24281984334203655,00s
2003,hip_hop,0.22715404699738903,00s
2004,hip_hop,0.23607427055702918,00s
2005,hip_hop,0.23333333333333334,00s
2006,hip_hop,0.19690265486725664,00s
2007,hip_hop,0.18906605922551253,00s
2008,hip_hop,0.1704781704781705,00s
2009,hip_hop,0.15234375,00s
2010,hip_hop,0.16576576576576577,10s
2011,hip_hop,0.1443661971830986,10s
2012,hip_hop,0.15812917594654788,10s
2013,hip_hop,0.1278825995807128,10s
2014,hip_hop,0.10609480812641084,10s
2015,hip_hop,0.158004158004158,10s
2016,hip_hop,0.2372549019607843,10s
2017,hip_hop,0.26851851851851855,10s
2018,hip_hop,0.38563049853372433,10s
2019,hip_hop,0.30756578947368424,10s
1960,jazz,0.08058608058608059,60s
1961,jazz,0.06037151702786378,60s
1962,jazz,0.0842433697347894,60s
1963,jazz,0.08306709265175719,60s
1964,jazz,0.07010014306151645,60s
1965,jazz,0.05057803468208093,60s
1966,jazz,0.03851444291609354,60s
1967,jazz,0.05517241379310345,60s
1968,jazz,0.07250755287009064,60s
1969,jazz,0.07342143906020558,60s
1970,jazz,0.04566929133858268,70s
1971,jazz,0.04952076677316294,70s
