,title,lyrics,artists,artistsFromList,date,rank,cnt
0,How Do I Live,"[Verse 1]
How do I get through one night without you?
If I had to live without you
What kind of life would that be?

[Pre-Chorus]
Oh, I, I need you in my arms, need you to hold
You're my world, my heart, my soul and if you ever leave
Baby you would take away everything good in my life
And tell me now

[Chorus]
How do I live without you? I want to know
How do I breathe without you if you ever go?
How do I ever, ever survive?
How do I, how do I, oh, how do I live?

[Verse 2]
Without you there'd be no sun in my sky
There would be no love in my life
There'd be no world left for me

[Pre-Chorus 2]
And I, baby, I don't know what I would do
I'd be lost if I lost you, if you ever leave
Baby, you would take away everything real in my life
And tell me now

[Chorus]
How do I live without you? I want to know
How do I breathe without you if you ever go?
How do I ever, ever survive?
How do I, how do I, oh, how do I live?

[Bridge]
Please, tell me, baby
How do I go on if you ever leave?
Baby, you would take away everything, I need you with me
Baby, don't you know that you're everything good in my life?
And tell me now

[Chorus]
How do I live without you? I want to know
How do I breathe without you if you ever go
How do I ever, ever survive?
How do I, how do I, oh, how do I live?
How do I live without you?
How do I live without you, baby?
How do I live?",LeAnn Rimes,LeAnn Rimes,1997,"[2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 5, 4, 5, 6, 6, 10, 9, 12, 18, 22, 27, 28, 49, 89]",28
1,You Make Me Wanna...,"[Intro: Jermaine Dupri]
This is what you do, this is what you do
This is what you do, this is what you do

[Chorus: Usher]
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me

[Verse 1: Usher]
Before anything began between us
You were like my best friend
The one I used to run and talk to when me and my girl was having problems
You used to say it would be okay
Suggest little nice things I should do
And when I go home at night and lay my head down
All I seem to think about is you
And how...

[Chorus: Usher]
You make me wanna leave the one I'm with
Start a new relationship with you, this is what you do
Think about a ring and all the things that come along with
You make me, you make me
You make me wanna leave the one I'm with
