,title,lyrics,artistsFromLyrics,artists,date,rank,cnt
0,"Thank U, Next","Thought I would defeat Klaw
Eric beat me to it
Or should I call him Killmonger ?
No, that is stupid
Thought I could defeat Thanos
But he’s purple and big
And when he snapped his fingers
Everyone disappeared

First it was Bucky
Then all of my people
And then it was me
This guy’s just evil
And then we lost Groot
I feel bad for rocket
He’s just a raccoon
Who kept it solid

Thanos snapped his fingers and…
Now we’re dust
Now we’re dust
Now we’re dust
Peter said he wasn’t feeling good
Now we’re dust
Now we’re dust
Now we’re dust
Peter said he

Wasn’t feeling so good
Heard he said it to Tony
Thought he needed a sandwich
That boy's pretty boney
But it turned out he was fading too
That poor little dude
The infinity gauntlet
Has some powerful jewels

One controls time
One controls space
And one controls mind
That shit’s amazing
He ripped it out of Vision
Wanda was crying
Then she disappeared
Everyone dying

Thanos snapped his fingers and
Now we’re dust
Now we’re dust
Now we’re dust
Peter said he wasn’t feeling good
Now we’re dust
Now we’re dust
Now we’re dust
Peter said he wasn’t feeling good

Now we’re dust
Now we’re dust
Now we’re dust
Peter said he

One day I’ll come back to Earth
Take a walk through Uganda
When I make it back home
I’ll shout this is Wakanda
Then I’ll kiss Nakia on her face
I’ll get me a taste
I will hug her so tightly
I will leave her no space

That was a joke
She needs her space
And she needs her time
But I stay chasin’
That girl is so nice
Wait, I’m getting off track
We we’re just all killed
Man, this is so whack

Thanos snapped his fingers and
Now we’re dust
Now we’re dust
Now we’re dust
Peter said he wasn’t feeling good
Now we’re dust
Now we’re dust
Now we’re dust
Peter said he wasn’t feeling good

Now we’re dust
Now we’re dust
Now we’re dust
Never, freeze
Now we’re dust
Now we’re dust
Now we’re dust
Never, freeze",Azerrz,Ariana Grande,2018,"[1, 1, 1, 2, 1, 1, 1]",7
1,Without Me,"[Verse 1]
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close (Keep you close)
I was afraid to leave you on your own (Ooh)

[Pre-Chorus]
I said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why (I don't know why, yeah, yeah)

[Verse 2]
Gave love 'bout a hundred tries (Hundred tries)
Just runnin' from the demons in your mind
Then I took yours and made 'em mine (Mine)
I didn't notice 'cause my love was blind

[Pre-Chorus]
Said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah

[Bridge]
You don't have to say just what you did (What you did)
I already know (I know)
I had to go and find out from them (Oh-woah)
So tell me, how's it feel? (Oh-woah)

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)",Halsey,Halsey,2018,"[2, 2, 3, 4, 4, 4, 6, 9, 12, 23, 18]",11
2,Sicko Mode,"[Part I]

[Intro: Drake]
Astro, yeah
Sun is down, freezin' cold
That's how we already know, winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young La Flame, he in sicko mode

[Part II]

[Verse 1: Travis Scott & The Notorious B.I.G.]
Woo, made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big, when we pull up, give me the loot
(Gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two four hour lockdown, we made no moves
Now it's 4 a.m. and I'm back up poppin' with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose

[Bridge: Big Hawk & Swae Lee]
Some-Some-Some-Someone said
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak (Someone said)
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak

[Verse 2: Travis Scott & Uncle Luke]
Yeah, this shit way too formal, y'all know I don't follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke
(Don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said, ""Where we goin'?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue

[Bridge: Travis Scott, Swae Lee & Big Hawk]
Someone said
Shorty FaceTimed me out the blue
Someone said
Pl-Playin' for keeps
Someone said, motherfucker—someone said
Don't play us for weak

[Part III]

[Intro: Travis Scott, Drake & Lil Juice]
Yeah!
Astro, yeah, yeah
(Tay Keith, fuck these niggas up!)
Ayy, ayy

[Chorus: Drake & Travis Scott]
She's in love with who I am
Back in high school, I used to bus it to the dance (Yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, 13 hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah

[Verse 3: Drake & Travis Scott]
Like a light, ayy, slept through the flight, ayy
Knocked for the night, ayy
767, man, this shit got double bedroom, man
I still got scores to settle, man
I crept down the block (Down the block)
Made a right (Yeah, right)
Cut the lights (Yeah, what?), paid the price (Yeah)
Niggas think it's sweet (Nah, never), it's on sight (Yeah, what?)
Nothin' nice (Yeah), baguettes in my ice (Aw, man)
Jesus Christ (Yeah), checks over stripes (Yeah)
That's what I like (Yeah), that's what we like (Yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (Bitch)
See the shots that I took (Ayy), wet like I'm Book (Ayy)
Wet like I'm Lizzie
I be spinnin' Valley, circle blocks 'til I'm dizzy (Yeah, what?)
Like where is he? (Yeah, what?)
No one seen him (Yeah, yeah)
I'm tryna clean 'em (Yeah)

[Chorus: Drake & Travis Scott]
She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hands (Woo)
I did half a Xan, 13 hours 'til I land
Had me out like a light (Like a light)
Like a light (Like a light)
Like a light (Like a light)
Like a light

[Verse 4: Travis Scott]
Yeah, passed the dawgs a celly
Sendin' texts, ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife,"" yeah
It's absolute, yeah (Yeah), I'm back, reboot (It's lit)
LaFerrari to Jamba Juice, yeah (Skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shawty in the back
She said she workin' on her glutes, yeah (Oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (Check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (Yeah)
Baby mama cover Forbes, got these other bitches shook
Yeah",Travis Scott,Travis Scott,2018,"[3, 3, 2, 1, 2, 2, 3, 2, 2, 7, 6, 6, 6, 9, 8, 9, 7, 9, 7, 4]",20
3,Happier,"[Intro]
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Verse 1]
When the morning comes
When we see what we've become
In the cold light of day, we're a flame in the wind
Not the fire that we've begun
Every argument, every word we can't take back
'Cause with all that has happened
I think that we both know the way that this story ends

[Chorus]
Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave

[Post-Chorus]
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Verse 2]
When the evening falls
And I'm left there with my thoughts
And the image of you being with someone else
Well, it's eating me up inside
But we ran our course, we pretended we're okay
Now if we jump together, at least we can swim
Far away from the wreck we made

[Chorus]
Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave

[Post-Chorus]
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Bridge]
So I'll go, I'll go
I will go, go, go
So I'll go, I'll go
I will go, go, go

[Pre-Chorus]
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
Even though I might not like this
I think that you'll be happier, I want you to be happier

[Chorus]
Then only for a minute (Only for a minute)
I want to change my mind
'Cause this just don't feel right to me (Right to me)
I wanna raise your spirits (Wanna raise your spirits)
I want to see you smile but
Know that means I'll have to leave

[Post-Chorus]
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Outro]
So I'll go, I'll go
I will go, go, go",Marshmello & Bastille,Marshmello & Bastille,2018,"[5, 4, 4, 3, 3, 3, 4, 3, 4, 6, 8, 13, 15, 31, 35, 46, 59, 63]",18
4,High Hopes,"[Intro]
High, high hopes

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes

[Verse 1]
Mama said, fulfill the prophecy
Be something greater, go make a legacy
Manifest destiny, back in the days
We wanted everything, wanted everything
Mama said, burn your biographies
Rewrite your history, light up your wildest dreams
Museum victories, every day
We wanted everything, wanted everything

[Pre-Chorus]
Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)

[Verse 2]
Mama said, it's uphill for oddities
The stranger crusaders, ain't ever wannabes
The weird and the novelties don't ever change
We wanted everything, wanted everything (High, high hopes)

[Bridge]
Stay up on that rise
Stay up on that rise and never come down, oh
Stay up on that rise
Stay up on that rise and never come down

[Pre-Chorus]
Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting
They say it's all been done but they haven't seen the best of me-eh-eh-eh
So I got one more run and it's gonna be a sight to see-eh-eh-eh

[Bridge]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)",Panic! at the Disco,Panic! At The Disco,2018,"[6, 5, 5, 5, 6, 8, 12, 11, 21, 27, 35, 49, 46, 56, 62, 74, 76, 90, 84, 98]",20
5,All I Want For Christmas Is You,"[Intro]
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah

[Verse 1]
I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day

[Chorus]
I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You, baby

[Verse 2]
Oh, I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click

[Chorus]
'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby, all I want for Christmas is you
You, baby

[Bridge]
Oh, all the lights are shining
So brightly everywhere (So brightly, baby)
And the sound of children's
Laughter fills the air (Oh, oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa, won't you bring me the one I really need? (Yeah, oh, oh)
Won't you please bring my baby to me?

[Verse 3]
Oh, I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door

[Chorus]
Oh, I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby, all I want for Christmas is you

[Outro]
You, baby
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (Ah, oh, ah, oh)
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (All I really want, baby, ooh)
All I want for Christmas is you, baby (All I want, all I really want is you)",Mariah Carey,Mariah Carey,2018,"[7, 6, 7, 14, 29, 13, 9]",7
6,ZEZE,"[Intro]
D.A. got that dope!

[Chorus: Travis Scott]
Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, Skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
See the bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?

[Refrain: Kodak Black]
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

[Verse 1: Offset]
Offset!
Blow the brains out the coupe (Boom)
Police wanna talk, but I'm on mute (Woo-woo, hey)
I'ma bust her wrist down 'cause she cute (Ice, ice)
Fuck her on a yacht, dive in a pool (Yeah)
She an addict (Addict), addict for the lifestyle and the Patek (Patek)
Big daddy, have you ever felt Chanel fabrics? (Chanel)
I be drippin' to death, I need a casket (Drippin')
And we got more stripes than the ref, he foul, TEC him (Bow, stripes)
In the middle of the field like David Beckham (Field, bow-bow)
All my niggas locked up, for real, I'm tryna help 'em (Free, free)
When I got a mil', got me the chills, don't know what happened (Hoo, chills)
Pop pills, do what you feel, I'm on that zombie (Hey, hoo)
I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey)
I'm more like I'm David, Goliath runnin' (Hey, hey)
Niggas be clonin', I find it funny (Clone, haha)
We from the Nawf, straight out of the dungeon (We from the Nawf, hey)
I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk)
300, the watch is out of your budget (Woo, woo, 300)
Mean-muggin' got me clutchin'
Yeah, and this stick right out of Russia

[Chorus: Travis Scott]
Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
Bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?

[Refrain: Kodak Black]
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

[Verse 2: Kodak Black]
In a Hellcat 'cause I'm a hell-raiser
Self-made, I don't owe a nigga nann favor
When you get that money, nigga, keep your heart
I'm slidin' in a coupe, ain't got no key to start
I got the fire on me in BET Awards
When your well run dry, you know you need me for it
When I pull up in the Buick, you know what I'm doin'
If the police get behind me, I'm fleein' and eludin'
Sleepin' on the palette turned me to a savage
I'm a project baby, now I stay in Calabasas
Like I still serve fiends, like I'm still jackin'
I be sippin' on lean, tryna keep balance
Hit that Z-Walk, Dickie's with my Reeboks
I don't say much, I just let the heat talk
Your jewelry water whip, diamonds like re-rock
My lil' baby ride the dick like a seesaw
When I stepped up on the scene, I was on a bean
When I jumped up out the Beam', I was in Celine
Baby girl, you just a fling, that ain't what I mean
Money bustin' out my jeans like I do the scheme

[Refrain: Kodak Black]
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

[Outro]
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh",Kodak Black,Kodak Black Featuring Travis Scott & Offset,2018,"[8, 9, 8, 7, 10, 9, 8, 6, 6, 2]",10
7,Drip Too Hard,"[Intro]
Run that back, Turbo

[Verse 1: Lil Baby]
You can get the biggest Chanel bag in the store if you want it
I gave 'em the drip, they sucked it up, I got 'em moanin'
I bought a new Patek, I had the watch, so I two-toned 'em
Takin' these drugs, I'm gon' be up until the mornin'
That ain't your car, you just a leaser, you don't own it
If I'm in the club, I got that fire when I'm performin'
The backend just came in, in all hundreds
Vibes galore, cute shit, they all on us
I'm from Atlanta where young niggas run shit
I know they hatin' on me, but I don't read comments
Whenever I tell her to come, she comin'
Whenever it's smoke, we ain't runnin'

[Chorus: Lil Baby]
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made

[Verse 2: Gunna]
Yeah, every other night, another dollar gettin' made
Every other night started with a good day
I feel like a child, I got boogers in the face
Diamonds dancin' in the dial like this shit is a parade
I don't want your chain, Young GonWunna not a slave
I had to draw the line, too many bitches gettin' saved
TSA harass me, so I took a private plane
These pussy niggas lackin', why I'm workin' on my aim
Drip too hard (Too hard), charge it to the card (To the card)
Designer to the ground, I can barely spell the names
Drip too hard, caution on the floor
You gon' fuck around and drown tryna ride a nigga wave

[Chorus: Lil Baby]
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made",Lil Baby & Gunna,Lil Baby & Gunna,2018,"[9, 8, 9, 8, 9, 10, 10, 8, 8, 8, 4, 25, 25, 28]",14
8,It's The Most Wonderful Time Of The Year,"[Chorus]
It's the most wonderful time of the year
With the kids jingle belling
And everyone telling you ""be of good cheer""
It's the most wonderful time of the year

[Verse 1]
It's the hap-happiest season of all
With those holiday greetings
And gay happy meetings when friends come to call
It's the hap-happiest season of all

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time of the year

[Pre-Chorus]
There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago

[Chorus]
It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time
It's the most wonderful time of the year",Andy Williams,Andy Williams,2018,"[10, 13, 16, 21, 38, 32]",6
9,Rockin' Around The Christmas Tree,"[Chorus]
Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Ev'ry couple tries to stop

Rockin' around the Christmas tree
Let the Christmas spirit ring
Later we'll have some pumpkin pie
And we'll do some caroling

[Bridge]
You will get a sentimental feeling when you hear
Voices singing, ""Let's be jolly -
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way

[Bridge]
You will get a sentimental feeling when you hear
Voices singing, ""Let's be jolly -
Deck the halls with boughs of holly!""

[Chorus]
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In a new old fashioned way",Brenda Lee,Brenda Lee,2018,"[11, 18, 21, 23, 36, 30]",6
