,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,Maneater,https://open.spotify.com/track/7j74lucZ59vqN67Ipe2ZcY,7j74lucZ59vqN67Ipe2ZcY,spotify:track:7j74lucZ59vqN67Ipe2ZcY,H20,7ygXmT175bKbOpiPjNwXOB,spotify:album:7ygXmT175bKbOpiPjNwXOB,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,273.173,11,73,1982-10-04,0.723,0.499,11,-13.082,0,0.0421,0.0406,9.44e-05,0.0761,0.828,88.825,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",[]
1,Hey Mickey,https://open.spotify.com/track/5G9KcZaxfCysfv4EryCB9b,5G9KcZaxfCysfv4EryCB9b,spotify:track:5G9KcZaxfCysfv4EryCB9b,Hey Mickey,0FCGD70m1TXNC9iXgKsTkp,spotify:album:0FCGD70m1TXNC9iXgKsTkp,Toni Basil,59hMeIYY3k3NoX54rrVGPv,spotify:artist:59hMeIYY3k3NoX54rrVGPv,252.885,1,41,2020-01-24,0.595,0.928,4,-4.457,1,0.0503,0.0569,0.0,0.0336,0.982,149.975,['new wave pop'],[]
2,The Girl Is Mine (with Paul McCartney),https://open.spotify.com/track/6ccHuWQAQhdZ0JCFlTHvNM,6ccHuWQAQhdZ0JCFlTHvNM,spotify:track:6ccHuWQAQhdZ0JCFlTHvNM,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",3OBhnTLrvkoEEETjFA3Qfk,spotify:album:3OBhnTLrvkoEEETjFA3Qfk,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,221.6,30,46,1995-06-16,0.454,0.664,9,-6.557,1,0.0841,0.383,3.04e-06,0.246,0.696,79.88,"['pop', 'r&b', 'soul']",[]
3,Dirty Laundry,https://open.spotify.com/track/7LFer4drCtWSyD8oxORZtC,7LFer4drCtWSyD8oxORZtC,spotify:track:7LFer4drCtWSyD8oxORZtC,I Can't Stand Still,2liPmoa0xyg9DcjKOryJ66,spotify:album:2liPmoa0xyg9DcjKOryJ66,Don Henley,5dbuFbrHa1SJlQhQX9OUJ2,spotify:artist:5dbuFbrHa1SJlQhQX9OUJ2,336.8,11,58,1982-08-13,0.756,0.773,5,-6.65,0,0.0306,0.0848,0.00256,0.0792,0.954,98.384,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'yacht rock']",[]
4,Gloria,https://open.spotify.com/track/15ob9SMGLWrexuPuyuMjKl,15ob9SMGLWrexuPuyuMjKl,spotify:track:15ob9SMGLWrexuPuyuMjKl,The Best Of Branigan,2bfvV9aRLN1BseXz4FbVnW,spotify:album:2bfvV9aRLN1BseXz4FbVnW,Laura Branigan,4463nfFMmK1cwAWBQDwT5e,spotify:artist:4463nfFMmK1cwAWBQDwT5e,295.066,13,65,1995-06-06,0.775,0.866,9,-3.598,1,0.0295,0.135,0.0376,0.152,0.876,131.34,"['dance rock', 'europop', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']",[]
5,Steppin' Out,https://open.spotify.com/track/2KY0QUeRY3IPuJI1gyU9BJ,2KY0QUeRY3IPuJI1gyU9BJ,spotify:track:2KY0QUeRY3IPuJI1gyU9BJ,Night And Day,01sMJCr0xosXP8uZ2djLvd,spotify:album:01sMJCr0xosXP8uZ2djLvd,Joe Jackson,6KOqPxwfNAmZPkiCnDE9yT,spotify:artist:6KOqPxwfNAmZPkiCnDE9yT,268.2,9,51,1982-01-01,0.579,0.223,11,-20.208,1,0.0364,0.0439,0.00232,0.0613,0.532,159.696,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'singer-songwriter', 'soft rock']",[]
6,Sexual Healing,https://open.spotify.com/track/3VZmChrnVW8JK6ano4gSED,3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,Midnight Love,3gPlX9Zs3tXZZKNCyoOkSm,spotify:album:3gPlX9Zs3tXZZKNCyoOkSm,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,spotify:artist:3koiLjNrgRTNbOwViDipeA,238.6,9,70,1982-10-01,0.805,0.601,0,-9.7,0,0.0579,0.119,0.000129,0.0581,0.746,94.382,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",[]
7,Down Under,https://open.spotify.com/track/46RVKt5Edm1zl0rXhPJZxz,46RVKt5Edm1zl0rXhPJZxz,spotify:track:46RVKt5Edm1zl0rXhPJZxz,The Best Of Men At Work: Contraband,6GYIy1SuhPDrugCZ5yNeQy,spotify:album:6GYIy1SuhPDrugCZ5yNeQy,Men At Work,0f3EsoviYnRKTkmayI3cux,spotify:artist:0f3EsoviYnRKTkmayI3cux,220.866,16,72,1996-02-01,0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,"['album rock', 'australian rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",[]
8,Rock This Town,https://open.spotify.com/track/2SknHmwY6GiOv6aK7YRahd,2SknHmwY6GiOv6aK7YRahd,spotify:track:2SknHmwY6GiOv6aK7YRahd,Built For Speed,65PptxxbOFNvpAK9oBeVV1,spotify:album:65PptxxbOFNvpAK9oBeVV1,Stray Cats,2ibPkysx2PXqWLmxFD7jSg,spotify:artist:2ibPkysx2PXqWLmxFD7jSg,207.0,12,47,1982-01-01,0.254,0.853,2,-10.218,1,0.0517,0.104,0.0,0.242,0.711,201.952,"['instrumental surf', 'rock-and-roll', 'rockabilly']",[]
9,Truly,https://open.spotify.com/track/7AslBsiVLQAGrmFmi79ZeK,7AslBsiVLQAGrmFmi79ZeK,spotify:track:7AslBsiVLQAGrmFmi79ZeK,Lionel Richie,5R8J87WpdqO4t4pB4F4LNJ,spotify:album:5R8J87WpdqO4t4pB4F4LNJ,Lionel Richie,3gMaNLQm7D9MornNILzdSl,spotify:artist:3gMaNLQm7D9MornNILzdSl,200.506,11,58,1982,0.366,0.238,1,-13.853,1,0.0381,0.646,1e-05,0.0876,0.131,68.362,"['adult standards', 'disco', 'mellow gold', 'motown', 'quiet storm', 'soft rock']",[]
10,Heartbreaker,https://open.spotify.com/track/3iMLRCGHLQ135LtMjKLkO8,3iMLRCGHLQ135LtMjKLkO8,spotify:track:3iMLRCGHLQ135LtMjKLkO8,Heartbreaker,1Iw6XX7uvOyQbq6dIht2hD,spotify:album:1Iw6XX7uvOyQbq6dIht2hD,Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,spotify:artist:2JSjCHK79gdaiPWdKiNUNp,258.266,10,53,1982,0.671,0.514,1,-13.561,0,0.0239,0.0921,1.53e-05,0.137,0.803,100.771,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",[]
11,Shadows Of The Night,https://open.spotify.com/track/6pwQEpLOlwclrsjgEOHEp0,6pwQEpLOlwclrsjgEOHEp0,spotify:track:6pwQEpLOlwclrsjgEOHEp0,Get Nervous,6WGt0GrbPx1NWlobn7j6zY,spotify:album:6WGt0GrbPx1NWlobn7j6zY,Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,spotify:artist:43mhFhQ4JAknA7Ik1bOZuV,261.56,10,54,1982-01-01,0.522,0.682,6,-10.183,1,0.0344,0.29,1.23e-05,0.339,0.529,111.902,"['album rock', 'classic rock', 'dance rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",[]
12,Africa,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,Toto IV,62U7xIHcID94o20Of5ea4D,spotify:album:62U7xIHcID94o20Of5ea4D,TOTO,0PFtn5NtBbbUNbU9EAmIWF,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,295.893,10,82,1982-04-08,0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",[]
13,Rock the Casbah - Remastered,https://open.spotify.com/track/56KqaFSGTb7ifpt16t5Y1N,56KqaFSGTb7ifpt16t5Y1N,spotify:track:56KqaFSGTb7ifpt16t5Y1N,Combat Rock (Remastered),1ZH5g1RDq3GY1OvyD0w0s2,spotify:album:1ZH5g1RDq3GY1OvyD0w0s2,The Clash,3RGLhK1IP9jnYFH4BRFJBS,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,222.426,12,71,1982,0.796,0.872,9,-6.722,0,0.0573,0.287,0.0,0.284,0.866,129.894,"['classic rock', 'dance rock', 'permanent wave', 'punk', 'rock']",[]
14,You And I - Karaoke Demonstration With Lead Vocal,https://open.spotify.com/track/4l11ccRZDssNt9hk1FEB4J,4l11ccRZDssNt9hk1FEB4J,spotify:track:4l11ccRZDssNt9hk1FEB4J,Karaoke - In The Style Of Eddie Rabbitt & Crystal Gayle - Vol. 1,3GUv2LhTSQjGrvy9pzG38J,spotify:album:3GUv2LhTSQjGrvy9pzG38J,The Karaoke Channel,5UloVKzUNJcjORzhhTWWiJ,spotify:artist:5UloVKzUNJcjORzhhTWWiJ,236.825,2,0,2008-01-15,0.51,0.505,5,-7.079,1,0.0243,0.794,0.334,0.11,0.151,81.519,['karaoke'],[]
15,The Other Guy,https://open.spotify.com/track/3utV3uUIjDJhXTP4d9oqrc,3utV3uUIjDJhXTP4d9oqrc,spotify:track:3utV3uUIjDJhXTP4d9oqrc,Greatest Hits,5OajcRNtdKugFqYgIsEkRY,spotify:album:5OajcRNtdKugFqYgIsEkRY,Little River Band,6clbbhnIqpHnqxwtOWcilg,spotify:artist:6clbbhnIqpHnqxwtOWcilg,167.56,12,28,2014-01-01,0.819,0.474,5,-10.664,1,0.0545,0.363,0.0,0.0889,0.804,109.008,"['album rock', 'art rock', 'australian rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",[]
16,The Look Of Love - Pt. 1,https://open.spotify.com/track/5AH9Dyo9PWrPq7N8qVzc1U,5AH9Dyo9PWrPq7N8qVzc1U,spotify:track:5AH9Dyo9PWrPq7N8qVzc1U,80s Party,0yfR2MY25fV83FUkDXc0Gq,spotify:album:0yfR2MY25fV83FUkDXc0Gq,ABC,2s79xe5F6eUQkjwjww27Fh,spotify:artist:2s79xe5F6eUQkjwjww27Fh,209.16,31,17,2018-11-16,0.739,0.898,9,-4.566,0,0.0895,0.112,0.00104,0.309,0.915,121.01,"['art rock', 'classic uk pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",[]
17,You Can't Hurry Love - Live 1985,https://open.spotify.com/track/5h5p5J9HpyHCP9MqTgSeHd,5h5p5J9HpyHCP9MqTgSeHd,spotify:track:5h5p5J9HpyHCP9MqTgSeHd,"Hello, I Must Be Going! (Deluxe Edition)",6sn6eWmPciSiHj0ltTBl7M,spotify:album:6sn6eWmPciSiHj0ltTBl7M,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,184.306,21,35,1982-11-05,0.634,0.909,7,-6.212,1,0.05,0.099,0.000275,0.434,0.593,96.409,"['mellow gold', 'soft rock']",[]
18,"Up Where We Belong - From ""An Officer And A Gentleman""",https://open.spotify.com/track/1h22h211rde6dDCeW2hXpN,1h22h211rde6dDCeW2hXpN,spotify:track:1h22h211rde6dDCeW2hXpN,20th Century Masters: The Best Of Joe Cocker (The Millennium Collection),2Qy7P4tvyqZcNOD4II3oKg,spotify:album:2Qy7P4tvyqZcNOD4II3oKg,Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,spotify:artist:3pFCERyEiP5xeN2EsPXhjI,232.573,11,66,2000-06-06,0.632,0.305,2,-11.842,1,0.0326,0.614,2.01e-05,0.0713,0.238,139.935,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",[]
19,Heart to Heart,https://open.spotify.com/track/2KaA0Tgl3RmQLzcvLEtzLH,2KaA0Tgl3RmQLzcvLEtzLH,spotify:track:2KaA0Tgl3RmQLzcvLEtzLH,High Adventure,1BbFSjGKKbiJqJSkfvaKtA,spotify:album:1BbFSjGKKbiJqJSkfvaKtA,Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,322.333,9,46,1982,0.698,0.456,0,-12.773,1,0.039,0.356,2.96e-05,0.0313,0.796,81.66,"['album rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",[]
20,Missing You,https://open.spotify.com/track/1ZhDatT59MAoXRLtQiMMfg,1ZhDatT59MAoXRLtQiMMfg,spotify:track:1ZhDatT59MAoXRLtQiMMfg,The Very Best Of Dan Fogelberg,3mXsZ9l6CT8IXOWDngEghm,spotify:album:3mXsZ9l6CT8IXOWDngEghm,Dan Fogelberg,0cA5Tg15TwARIRZeiNT1RO,spotify:artist:0cA5Tg15TwARIRZeiNT1RO,245.293,17,33,2001-06-08,0.632,0.791,9,-6.856,0,0.0313,0.195,1.04e-05,0.353,0.804,92.854,"['adult standards', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",[]
21,Hand To Hold On To,https://open.spotify.com/track/7fPXqb7yuGbSl0ZM3EddHx,7fPXqb7yuGbSl0ZM3EddHx,spotify:track:7fPXqb7yuGbSl0ZM3EddHx,American Fool,4gouGcdQn9OvjX42xnWrF0,spotify:album:4gouGcdQn9OvjX42xnWrF0,John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,205.16,10,42,1982,0.751,0.852,9,-4.905,1,0.0295,0.0365,0.0,0.11,0.939,116.539,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",[]
22,Goody Two Shoes,https://open.spotify.com/track/760xFXFj5Fksa3jawSCn5g,760xFXFj5Fksa3jawSCn5g,spotify:track:760xFXFj5Fksa3jawSCn5g,Friend Or Foe,2GAvEhQNAUpsx1DF2SfyNA,spotify:album:2GAvEhQNAUpsx1DF2SfyNA,Adam Ant,3QP0XPDwbvGivqDAaJ5f5G,spotify:artist:3QP0XPDwbvGivqDAaJ5f5G,209.213,24,50,1982,0.624,0.991,1,-3.467,0,0.135,0.0289,0.0107,0.0477,0.535,95.472,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']",[]
23,I Do,https://open.spotify.com/track/3CJ7Lv81oy1Qha4PrBZPxU,3CJ7Lv81oy1Qha4PrBZPxU,spotify:track:3CJ7Lv81oy1Qha4PrBZPxU,Best Of The J. Geils Band,5TVW6evyS6JNrciWigYWVC,spotify:album:5TVW6evyS6JNrciWigYWVC,The J. Geils Band,69Mj3u4FTUrpyeGNSIaU6F,spotify:artist:69Mj3u4FTUrpyeGNSIaU6F,188.106,9,29,1979-06-05,0.554,0.741,8,-6.587,1,0.165,0.0365,0.000975,0.106,0.956,202.347,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'new wave pop', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",[]
24,Love In Store - 2018 Remaster,https://open.spotify.com/track/1zKpjObwEl01dSUDW2IysQ,1zKpjObwEl01dSUDW2IysQ,spotify:track:1zKpjObwEl01dSUDW2IysQ,50 Years - Don't Stop,06JqOkwwy91OxrApXclzYf,spotify:album:06JqOkwwy91OxrApXclzYf,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,spotify:artist:08GQAI4eElDnROBrJRGE0X,194.44,50,32,2018-11-16,0.69,0.578,0,-8.471,1,0.0277,0.111,0.000996,0.103,0.415,124.493,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",[]
25,You Got Lucky,https://open.spotify.com/track/5eMZ3EPIMGoWlrrVhxatdv,5eMZ3EPIMGoWlrrVhxatdv,spotify:track:5eMZ3EPIMGoWlrrVhxatdv,Long After Dark,2ztfSQWXGq5RKDItE9E3oQ,spotify:album:2ztfSQWXGq5RKDItE9E3oQ,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,spotify:artist:4tX2TplrkIP4v05BNC903e,217.96,10,50,1982-11-02,0.687,0.649,9,-6.776,0,0.0273,0.0381,1.08e-05,0.043,0.641,114.811,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",[]
26,On The Wings Of Love,https://open.spotify.com/track/6AEdWbrFREOUNmI1hMPbyc,6AEdWbrFREOUNmI1hMPbyc,spotify:track:6AEdWbrFREOUNmI1hMPbyc,Jeffrey Osborne,0Z4d4VItwYl3FavOak829u,spotify:album:0Z4d4VItwYl3FavOak829u,Jeffrey Osborne,5qUHCOUsvVKUpVrMMmztMK,spotify:artist:5qUHCOUsvVKUpVrMMmztMK,241.76,10,57,1982-01-01,0.546,0.352,7,-12.066,1,0.032,0.404,0.0,0.355,0.39,69.199,"['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",[]
