,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,Are You Lonesome To-night? (In the Style of Elvis Presley) [Karaoke Version],https://open.spotify.com/track/4oQ7A4Zq10kdSgIvlaIjbL,4oQ7A4Zq10kdSgIvlaIjbL,spotify:track:4oQ7A4Zq10kdSgIvlaIjbL,Country - Karaoke Vol. 11,4xxDJgh62rFlxBjcUT7oDH,spotify:album:4xxDJgh62rFlxBjcUT7oDH,Ameritz Karaoke Entertainment,6A0fDIT1PphHIsNz4KfIK0,spotify:artist:6A0fDIT1PphHIsNz4KfIK0,178.2,12,0,2012-04-02,0.542,0.466,0,-7.557,1,0.0277,0.818,0.769,0.174,0.201,78.883,['karaoke'],[]
1,Wonderland By Night,https://open.spotify.com/track/30WUWEzisQFY1dfgpVRXv3,30WUWEzisQFY1dfgpVRXv3,spotify:track:30WUWEzisQFY1dfgpVRXv3,What A Beautiful Day,1AJRdjvEKHRF18GJ8SnlJo,spotify:album:1AJRdjvEKHRF18GJ8SnlJo,Floyd Cramer,6DQ6mdEhxCgHPqfX1niZZK,spotify:artist:6DQ6mdEhxCgHPqfX1niZZK,179.8,24,16,2013-12-01,0.361,0.186,3,-13.178,1,0.0326,0.861,0.0789,0.112,0.321,107.429,"['easy listening', 'honky-tonk piano', 'nashville sound']",[]
2,Last Date - Instrumental,https://open.spotify.com/track/7rbvjRc6ZTVA3GUXDx3Xtr,7rbvjRc6ZTVA3GUXDx3Xtr,spotify:track:7rbvjRc6ZTVA3GUXDx3Xtr,Super Hits,2xDSr0Si1QI2v4kkGnkW4G,spotify:album:2xDSr0Si1QI2v4kkGnkW4G,Floyd Cramer,6DQ6mdEhxCgHPqfX1niZZK,spotify:artist:6DQ6mdEhxCgHPqfX1niZZK,146.76,10,47,1979,0.615,0.306,0,-12.026,1,0.0289,0.858,0.958,0.15,0.613,103.818,"['easy listening', 'honky-tonk piano', 'nashville sound']",[]
3,A Thousand Stars,https://open.spotify.com/track/0295jaQ5AXCo4he9qj22GB,0295jaQ5AXCo4he9qj22GB,spotify:track:0295jaQ5AXCo4he9qj22GB,808,6XB38eWBIbuqoTj40bzFTa,spotify:album:6XB38eWBIbuqoTj40bzFTa,ONEUS,3CVYSpM7nfHFG5qCTW7Ht9,spotify:artist:3CVYSpM7nfHFG5qCTW7Ht9,222.72,5,35,2019-12-18,0.636,0.901,3,-3.22,1,0.0959,0.191,0.0,0.347,0.485,135.061,"['k-pop', 'k-pop boy group']",[]
4,Exodus,https://open.spotify.com/track/2Bkfvi3pCcwoJwnmd45OnA,2Bkfvi3pCcwoJwnmd45OnA,spotify:track:2Bkfvi3pCcwoJwnmd45OnA,High Tide In The Snake's Nest,4c883HVf99qEtZNFzprNli,spotify:album:4c883HVf99qEtZNFzprNli,$uicideBoy$,1VPmR4DJC1PlOtd0IADAO0,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,126.223,10,52,2015-06-15,0.607,0.749,2,-4.497,1,0.0728,0.00641,7.66e-05,0.234,0.18,121.829,"['dark trap', 'new orleans rap', 'underground hip hop']",[]
5,North To Alaska*,https://open.spotify.com/track/3JLJ0n5ZFd8oOwvQv7LUEt,3JLJ0n5ZFd8oOwvQv7LUEt,spotify:track:3JLJ0n5ZFd8oOwvQv7LUEt,Johnny Horton'S Greatest Hits,3ZQQjQreYCK9obcS5B5bwI,spotify:album:3ZQQjQreYCK9obcS5B5bwI,Johnny Horton,1bBZcz4jP7CoPlqpCFh4gz,spotify:artist:1bBZcz4jP7CoPlqpCFh4gz,169.76,13,48,1961,0.644,0.371,0,-14.436,1,0.039,0.718,0.0,0.348,0.916,82.909,"['country', 'cowboy western', 'rock-and-roll']",[]
7,You're Sixteen (You’re Beautiful And You’re Mine),https://open.spotify.com/track/4MAxWahEbzU8m4bD6mSZg9,4MAxWahEbzU8m4bD6mSZg9,spotify:track:4MAxWahEbzU8m4bD6mSZg9,Ringo,6zjenDV68SpvM3oEhorTDm,spotify:album:6zjenDV68SpvM3oEhorTDm,Ringo Starr,6DbJi8AcN5ANdtvJcwBSw8,spotify:artist:6DbJi8AcN5ANdtvJcwBSw8,169.693,13,47,1973-01-01,0.665,0.629,8,-12.852,1,0.0441,0.0381,1.84e-05,0.0637,0.856,124.265,"['album rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",[]
8,Sailor (Your Home Is The Sea),https://open.spotify.com/track/3l477StNmG8dGEwGzFshxh,3l477StNmG8dGEwGzFshxh,spotify:track:3l477StNmG8dGEwGzFshxh,Famous One Hit Wonders - Back In Time Vol. 3,6MSs60uHTv2dstbINprKP5,spotify:album:6MSs60uHTv2dstbINprKP5,Lolita,3orB0vncgYGZODin7OJO4j,spotify:artist:3orB0vncgYGZODin7OJO4j,170.2,16,13,2013-07-20,0.453,0.297,7,-10.041,1,0.0325,0.826,3.98e-05,0.35,0.388,102.537,[],[]
10,He Will Break Your Heart,https://open.spotify.com/track/2ZJZcqM60OwgqTO1OvJpHL,2ZJZcqM60OwgqTO1OvJpHL,spotify:track:2ZJZcqM60OwgqTO1OvJpHL,Aware Of Love,0kqPDG3uEHJjsO6dsgtnUL,spotify:album:0kqPDG3uEHJjsO6dsgtnUL,Jerry Butler,0U2mUJuJkthantMGmsJygP,spotify:artist:0U2mUJuJkthantMGmsJygP,170.093,17,30,1961-01-01,0.612,0.601,8,-9.095,0,0.0425,0.22,0.0,0.446,0.692,130.939,"['beach music', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']",[]
11,Lonely Teenager,https://open.spotify.com/track/3heOkAfstVuhK57gYlJI2J,3heOkAfstVuhK57gYlJI2J,spotify:track:3heOkAfstVuhK57gYlJI2J,The Best Of Dion & The Belmonts,4XCCPbgyV1L06tIZmQYFwu,spotify:album:4XCCPbgyV1L06tIZmQYFwu,Dion,15FyiY3ChN0QRspHIQYq0W,spotify:artist:15FyiY3ChN0QRspHIQYq0W,138.52,30,32,2005-01-01,0.371,0.347,7,-11.971,0,0.0295,0.613,0.000362,0.0891,0.7,70.846,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']",[]
12,Angel Baby,https://open.spotify.com/track/6jBLNo8wTAMls9zsdYEvl4,6jBLNo8wTAMls9zsdYEvl4,spotify:track:6jBLNo8wTAMls9zsdYEvl4,EnterFear Level 1,72qMCdvTdjqoxEscCpurNp,spotify:album:72qMCdvTdjqoxEscCpurNp,Tech N9ne,6UBA15slIuadJ8h2lPRPos,spotify:artist:6UBA15slIuadJ8h2lPRPos,195.667,5,46,2019-11-22,0.701,0.606,5,-5.965,0,0.189,0.635,0.0,0.296,0.501,96.058,"['pop rap', 'rap', 'southern hip hop']",[]
13,Rockin' Around The Christmas Tree,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2EjXfH91m7f8HiJN1yQg97,spotify:track:2EjXfH91m7f8HiJN1yQg97,Merry Christmas From Brenda Lee,34wa3zf2prXFMk47t9zHFG,spotify:album:34wa3zf2prXFMk47t9zHFG,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,spotify:artist:4cPHsZM98sKzmV26wlwD2W,126.266,12,74,1964-10-19,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly']",[]
14,Perfidia (with Tommy McCook & The Supersonics),https://open.spotify.com/track/0oGK2jqvehM65S4c3V0K0k,0oGK2jqvehM65S4c3V0K0k,spotify:track:0oGK2jqvehM65S4c3V0K0k,Love Is All I Had: A Tribute to the Queen of Jamaican Soul,4Op7as0pv5F8nGEu4oR0Cl,spotify:album:4Op7as0pv5F8nGEu4oR0Cl,Phyllis Dillon,5Gsu4aAUiAALoTVvQduyhh,spotify:artist:5Gsu4aAUiAALoTVvQduyhh,166.333,29,44,2004-01-01,0.771,0.441,7,-9.678,1,0.0292,0.412,0.0201,0.0967,0.915,91.457,"['reggae', 'rock steady', 'ska']",[]
15,Rubber Ball - Unpeeled,https://open.spotify.com/track/65Fz2cM2BiIlBBlNbw5RtZ,65Fz2cM2BiIlBBlNbw5RtZ,spotify:track:65Fz2cM2BiIlBBlNbw5RtZ,Unpeeled,4zpN41aGAYPWX3dzE19rH7,spotify:album:4zpN41aGAYPWX3dzE19rH7,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,244.48,21,49,2017-07-28,0.445,0.263,5,-12.276,1,0.0253,0.646,1.49e-06,0.868,0.188,77.086,"['garage rock', 'indie pop', 'indie rock', 'modern rock', 'punk blues', 'rock']",[]
17,NEW ORLEANS,https://open.spotify.com/track/5kkxyqYSQrnHpfsmkjKi81,5kkxyqYSQrnHpfsmkjKi81,spotify:track:5kkxyqYSQrnHpfsmkjKi81,iridescence,3Mj4A4nNJzIdxOyS4yzOhj,spotify:album:3Mj4A4nNJzIdxOyS4yzOhj,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,243.28,15,59,2018-09-21,0.639,0.815,11,-4.962,0,0.252,0.232,0.0,0.299,0.4,159.903,"['boy band', 'pop', 'rap']",[]
18,Will You Love Me Tomorrow?,https://open.spotify.com/track/7qVd0TKcUDUdVaUogsGm4H,7qVd0TKcUDUdVaUogsGm4H,spotify:track:7qVd0TKcUDUdVaUogsGm4H,Tapestry,12n11cgnpjXKLeqrnIERoS,spotify:album:12n11cgnpjXKLeqrnIERoS,Carole King,319yZVtYM9MBGqmSQnMyY6,spotify:artist:319yZVtYM9MBGqmSQnMyY6,252.44,12,54,1971,0.403,0.329,0,-12.847,1,0.0314,0.79,0.000396,0.102,0.243,159.443,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'lilith', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'soul']",[]
19,Rudolph The Red-Nosed Reindeer,https://open.spotify.com/track/5GIr3yuNOZs4o3NkdKEWNy,5GIr3yuNOZs4o3NkdKEWNy,spotify:track:5GIr3yuNOZs4o3NkdKEWNy,Merry Christmas Wherever You Are,7bVZzd18CRxQQQRqNU0zJh,spotify:album:7bVZzd18CRxQQQRqNU0zJh,George Strait,5vngPClqofybhPERIqQMYd,spotify:artist:5vngPClqofybhPERIqQMYd,176.8,10,42,1999-01-01,0.719,0.411,9,-11.423,1,0.0357,0.713,5.72e-06,0.108,0.715,136.829,"['contemporary country', 'country', 'country road']",[]
